epoch,train_loss,ce_loss,margin_loss,lr,ema_top1,ema_top3,ema_top5,ema_macro_f1,ema_weighted_f1,swa_top1
1,1.766570378014079,1.6230195699733159,0.7177540357406142,1.0641882889900528e-06,0.5133991537376587,0.6770098730606487,0.7750352609308886,0.5038483784599512,0.5271385847664473,
2,1.289747492241342,1.158379366242659,0.6568406254247152,9.718829957257347e-07,0.6812411847672779,0.8631875881523272,0.9217207334273625,0.6087862816652961,0.6705582006373014,
3,1.1937279782185375,1.0743079014639416,0.5971003817374417,8.050226182647168e-07,0.6953455571227081,0.8751763046544428,0.923836389280677,0.6215184608917464,0.6865415479271063,
4,1.1322478313341302,1.023417635063623,0.5441509751946234,5.9230716052533e-07,0.6981664315937941,0.8808180535966149,0.9231311706629055,0.6293079008232547,0.6900095173331527,0.689703808180536
5,1.0737986092333687,0.9728330250020133,0.5048279183674561,3.703237054538315e-07,0.6960507757404796,0.885049365303244,0.9245416078984485,0.6236409960444818,0.689587735864821,0.6953455571227081
6,1.0205572184675218,0.9290749377725975,0.45741140035415734,1.772534325926505e-07,0.6918194640338505,0.883638928067701,0.9188998589562765,0.6194606062623709,0.685583832159938,0.6995768688293371
7,0.992477313893556,0.9057055019898035,0.4338590581717689,4.6304450852625985e-08,0.691114245416079,0.8758815232722144,0.9203102961918195,0.6203038852472385,0.6860475966014412,0.6981664315937941
8,0.9748617871625794,0.8911247476316667,0.4186851927634985,0.0,0.692524682651622,0.8765867418899859,0.921015514809591,0.6250327785265111,0.6886088654815269,0.6981664315937941
