epoch,train_loss,lr,tfidf_recall,top1,top5,top10
1,1.793337367262159,1.3333333333333333e-05,0.5593962999026291,0.1747809152872444,0.3889970788704966,0.47224926971762415
2,1.2742720498409106,1.9932383577419432e-05,0.5593962999026291,0.2020447906523856,0.4065238558909445,0.4853943524829601
3,1.005221864903644,1.9396926207859085e-05,0.5593962999026291,0.2030185004868549,0.4148003894839338,0.4892891918208374
4,0.7813599531687957,1.8354878114129368e-05,0.5593962999026291,0.21518987341772153,0.4230769230769231,0.5024342745861733
5,0.6250134899901847,1.686241637868734e-05,0.5593962999026291,0.2112950340798442,0.4323271665043817,0.5043816942551119
6,0.5263901779022938,1.5000000000000002e-05,0.5593962999026291,0.21567672833495619,0.4216163583252191,0.49659201557935734
7,0.45547123502877446,1.2868032327110904e-05,0.5593962999026291,0.21372930866601753,0.4259980525803311,0.5
8,0.39389113948296944,1.0581448289104759e-05,0.5593962999026291,0.1976630963972736,0.428919182083739,0.5004868549172347
9,0.3546058139794325,8.263518223330698e-06,0.5593962999026291,0.20837390457643623,0.4323271665043817,0.49951314508276534
10,0.31364082517515296,6.039202339608432e-06,0.5593962999026291,0.2088607594936709,0.43573515092502435,0.5019474196689386
11,0.2819002065004127,4.028414082972141e-06,0.5593962999026291,0.20399221032132425,0.4298928919182084,0.4961051606621227
