epoch,train_loss,val_loss,top1_accuracy,top5_accuracy,top10_accuracy,lr
1,3.9473450472610634,6.15016061317143,0.011197663096397274,0.06183057448880234,0.10077896786757547,6.666666666666667e-06
2,2.8519338224998396,5.132317318366124,0.07838364167478092,0.22979552093476144,0.3466407010710808,1.3333333333333333e-05
3,2.2697362289296716,4.73259498714356,0.12171372930866602,0.3247322297955209,0.4498539435248296,2e-05
4,1.960672094335193,4.561276029675706,0.1382667964946446,0.3729308666017527,0.4902629016553067,1.925925925925926e-05
5,1.748223331560313,4.409731042361886,0.15530671859785783,0.38412852969815,0.5253164556962026,1.851851851851852e-05
6,1.5811686466309438,4.333665267068316,0.16747809152872445,0.4036027263875365,0.5379746835443038,1.7777777777777777e-05
7,1.4452233570257274,4.395916383013405,0.1655306718597858,0.40311587147030187,0.5282375851996105,1.7037037037037038e-05
8,1.3292050613251525,4.375749011793353,0.17283349561830574,0.4079844206426485,0.547711781888997,1.6296296296296297e-05
9,1.23484786715887,4.336321444733988,0.17234664070107109,0.4259980525803311,0.5525803310613437,1.555555555555556e-05
10,1.1413085425601286,4.399788631113589,0.17088607594936708,0.4216163583252191,0.5443037974683544,1.4814814814814815e-05
11,1.0523933147476618,4.470917761927977,0.16504381694255113,0.41820837390457644,0.5423563777994158,1.4074074074074075e-05
12,0.9840610544986791,4.556094952718425,0.17526777020447906,0.4123661148977605,0.5404089581304771,1.3333333333333333e-05
13,0.9167537089037647,4.650958297576505,0.17380720545277506,0.4196689386562804,0.5389483933787731,1.2592592592592593e-05
14,0.8500794062977431,4.716092419558039,0.1611489776046738,0.4070107108081792,0.5379746835443038,1.1851851851851852e-05
15,0.7922392897952387,4.774376362947132,0.15384615384615385,0.40993184031158714,0.5389483933787731,1.1111111111111113e-05
16,0.7502655031153075,4.884499517932331,0.15579357351509251,0.4104186952288218,0.5394352482960078,1.037037037037037e-05
17,0.6965878480033478,4.954474006688694,0.14946445959104188,0.41528724440116843,0.5340798442064265,9.62962962962963e-06
18,0.656792443000734,4.959687834301557,0.1587147030185005,0.4036027263875365,0.5316455696202531,8.888888888888888e-06
19,0.6285100314237667,5.0232543362360795,0.1596884128529698,0.4118792599805258,0.5272638753651412,8.148148148148148e-06
