epoch,train_loss,lr,flat_top1,flat_top5,flat_top10,hier_top1,hier_top5,hier_top10
1,4.890898015581328,4.000000000000001e-06,0.006815968841285297,0.02044790652385589,0.034079844206426485,0.004381694255111977,0.019474196689386564,0.0365141187925998
2,4.143374997171862,8.000000000000001e-06,0.03261927945472249,0.10126582278481013,0.1596884128529698,0.029211295034079845,0.09250243427458617,0.1518987341772152
3,3.3552001246090595,1.2e-05,0.07010710808179163,0.2181110029211295,0.33252190847127555,0.062317429406037,0.19961051606621227,0.2887049659201558
4,2.8621003422243843,1.6000000000000003e-05,0.10223953261927946,0.2809152872444012,0.4006815968841285,0.09104186952288218,0.23466407010710807,0.3305744888023369
5,2.5494576930999755,2e-05,0.12171372930866602,0.33154819863680624,0.43476144109055503,0.10516066212268745,0.26338851022395326,0.35540408958130476
6,2.2862954238365436,1.9975640502598243e-05,0.13339824732229796,0.34712755598831546,0.4644595910418695,0.11392405063291139,0.2911392405063291,0.3777994157740993
7,2.0977239584100658,1.9902680687415704e-05,0.13875365141187926,0.375365141187926,0.49659201557935734,0.11976630963972736,0.3227848101265823,0.42745861733203505
8,1.946275832735259,1.9781476007338058e-05,0.14946445959104188,0.3729308666017527,0.49513145082765336,0.12074001947419669,0.2857838364167478,0.37000973709834467
9,1.8001812145627778,1.961261695938319e-05,0.14995131450827653,0.3831548198636806,0.49415774099318405,0.13339824732229796,0.32327166504381694,0.41820837390457644
10,1.7184616779458934,1.9396926207859085e-05,0.14654333008763387,0.3875365141187926,0.5097370983446933,0.13437195715676728,0.3296007789678676,0.42843232716650437
11,1.6430258792022179,1.913545457642601e-05,0.14654333008763387,0.3831548198636806,0.5,0.12317429406037,0.3062317429406037,0.38558909444985395
12,1.5068184219557663,1.8829475928589272e-05,0.14313534566699124,0.3748782862706913,0.49805258033106137,0.1192794547224927,0.29892891918208375,0.3914313534566699
13,1.4382037952028472,1.848048096156426e-05,0.14654333008763387,0.3977604673807206,0.5141187925998053,0.12317429406037,0.3169425511197663,0.40457643622200584
14,1.3664111293595413,1.8090169943749477e-05,0.13972736124634857,0.381207400194742,0.505842259006816,0.11976630963972736,0.308666017526777,0.3997078870496592
15,1.3236218436010954,1.766044443118978e-05,0.14216163583252192,0.38023369036027266,0.5,0.1192794547224927,0.2911392405063291,0.3889970788704966
16,1.2990524978473268,1.7193398003386514e-05,0.14216163583252192,0.3807205452775073,0.5019474196689386,0.11343719571567673,0.29990262901655307,0.38364167478091526
17,1.2196719062739405,1.6691306063588583e-05,0.14216163583252192,0.3748782862706913,0.5048685491723467,0.124634858812074,0.29990262901655307,0.39824732229795523
18,1.1672717743906482,1.6156614753256583e-05,0.1382667964946446,0.3885102239532619,0.5063291139240507,0.11100292112950341,0.30428432327166505,0.39629990262901654
19,1.1005314452894803,1.5591929034707468e-05,0.14021421616358326,0.37633885102239534,0.49805258033106137,0.11343719571567673,0.2901655306718598,0.3889970788704966
