epoch,train_loss,ce_loss,margin_loss,kl_loss,lr,top1,top3,top5,macro_f1,weighted_f1
1,2.9474773974118107,2.869475589184923,0.7800180831835459,0.0,1.9380284117631984e-06,0.6372930866601753,0.8451801363193768,0.8953261927945472,0.5420741647895387,0.6238727149018072
2,2.237305484831143,2.1506625017453653,0.8664298183425697,0.0,1.8116354589479017e-06,0.5258033106134372,0.7755598831548198,0.8636806231742941,0.42742873111428625,0.512003611210179
3,2.048638170398393,1.9706092720595412,0.7802889654997478,0.0,1.5276999396514752e-06,0.6144109055501461,0.8252190847127556,0.8943524829600779,0.5264383401552742,0.6029237027103029
4,1.9948896831147656,1.9192564176190499,0.7563326584114604,0.0,1.1394252585121909e-06,0.6139240506329114,0.8393378773125608,0.8958130477117819,0.5279603768189582,0.6015237264994753
