epoch,train_loss,ce_loss,margin_loss,kl_loss,lr,top1,top3,top5,macro_f1,weighted_f1
1,2.6328304883678415,2.439477981775884,0.6445083402553148,0.0,7.972644259522273e-06,0.6148977604673808,0.8378773125608568,0.9031158714703018,0.5129868085068574,0.599096605414393
2,2.168570380493433,1.9730937156355908,0.6515888633375293,0.0,9.436966423299111e-06,0.627555988315482,0.8583252190847127,0.9031158714703018,0.5268681973545081,0.6153256001941739
3,2.0542744078855937,1.8610082678929676,0.6442204423877825,0.0,8.925051849639057e-06,0.6436222005842259,0.8597857838364168,0.9074975657254138,0.5477387465242075,0.6328476052758704
4,1.9700900765697131,1.7873111876704544,0.6092629416749793,0.0,8.065125348453918e-06,0.6514118792599806,0.8631937682570594,0.9060370009737099,0.5613972031128819,0.6426744030117713
5,1.883903722745517,1.7137214990432275,0.5672740608476835,0.0,6.9294367249916536e-06,0.6533592989289192,0.8597857838364168,0.9011684518013632,0.5607449020018762,0.6457332436598091
6,1.7967639354243008,1.6392791302143188,0.5249493336413231,0.0,5.613404926981392e-06,0.6489776046738072,0.8481012658227848,0.8943524829600779,0.5514965913508842,0.6419797388423485
7,1.7205702980344006,1.575042147215349,0.4850938202658889,0.0,4.227601079949931e-06,0.6426484907497566,0.8378773125608568,0.8904576436222006,0.542104101010936,0.6368199993646302
8,1.6467230994511168,1.5138733057344171,0.4428326386545722,0.0,2.8884584580456e-06,0.6338851022395326,0.8266796494644596,0.882667964946446,0.5330982897008109,0.6279140938971306
9,1.5877751647779685,1.4650296110639638,0.4091518338709077,0.0,1.7084899254474723e-06,0.6265822784810127,0.8140214216163584,0.8704965920155794,0.52994163998726,0.6234836823993543
10,1.54885597013393,1.4323947633956404,0.3882040125653321,0.0,7.868347650610576e-07,0.6178188899707887,0.8037974683544303,0.8612463485881208,0.5232053812065413,0.6160498860589776
